account_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
2,13,2,10,7,6,3,8,0,5,12,44331,43854,40761,38131,30788,24819,22525,22093,21702,19655,0,2,3,1,6,5,11,9,12,14,1108117,111140,68363,53188,37292,20999,18867,18807,18304,17127,2,10,11,1,5,6,13,7,3,9,30226,26851,25411,24388,23902,23845,21388,20621,18289,17863,0,1,2,4,6,3,7,9,11,5,955640,148851,68461,25382,24019,18715,16842,15476,14861,13921,10,1,5,8,14,4,12,13,9,3,37293,36634,35675,35297,34814,34490,33554,31277,26435,26383,0,2,1,3,6,11,7,8,12,9,1092989,112662,110856,60094,38110,31844,26466,19693,12916,11899,2,11,6,5,3,7,14,10,8,12,30433,30315,26146,22451,22084,21750,21219,21207,20941,20190,0,1,2,4,7,6,3,5,9,12,1087418,139297,76291,27425,24810,23444,19321,15428,15356,15059,7,1,2,6,12,11,4,10,14,9,39581,34221,32787,31544,28572,26032,23823,23275,17289,16389,0,1,2,3,6,7,4,11,12,10,1151487,151207,76928,31993,28148,27697,26744,16407,15876,11784,6,11,14,2,7,1,4,3,12,9,46681,40484,40270,35201,35190,34494,34244,31392,30298,28019,0,1,2,4,6,3,7,9,12,5,1427026,215020,98512,55268,40188,35801,35023,21104,18816,16974,6,11,1,3,8,13,2,4,10,7,33488,33465,29740,25825,25540,24717,24130,23052,21970,19887,0,1,2,3,4,6,11,8,7,13,1642729,154951,61911,40519,30141,28502,17915,17008,16537,13480,3,5,6,11,12,2,10,4,7,14,35969,34148,33333,31893,30850,27488,26459,26221,22555,19422,0,3,2,5,1,6,11,4,12,14,1447986,63300,43222,32901,29552,26553,24158,21395,21270,14361,3,10,12,5,11,14,1,6,2,7,32739,30327,28926,28239,26636,26410,23705,22340,22156,21868,0,1,2,3,5,4,6,10,7,12,1388118,117905,54369,51309,27190,19723,18804,17923,17058,15583,11,3,7,12,1,5,2,9,6,10,34965,33570,29911,26984,26674,25153,20015,19156,17759,17758,0,1,3,2,5,7,11,4,6,12,1464798,140712,52853,50248,25129,24526,18401,17124,14209,13847,11,3,2,7,12,5,8,1,13,9,33694,27643,26915,26416,26377,26052,25827,22389,22310,22231,0,2,1,3,5,11,4,6,8,7,1278759,82011,75264,59009,28781,26334,19632,18902,17217,14932
19,13,8,7,2,3,12,14,4,9,1,33869,30984,30916,29954,28940,28669,24143,21391,21321,20603,0,1,2,5,4,6,3,9,8,12,148344,120307,70263,28036,20005,15984,15885,15848,15152,15141,7,4,10,1,13,2,12,5,9,6,30406,29213,29213,25851,25851,20913,20913,15219,15219,9585,0,1,2,4,7,5,10,13,12,9,373993,112616,49554,31311,19658,16793,15022,12580,11127,10219,9,4,14,1,12,6,7,11,2,3,28133,27801,27207,26392,25316,23930,22266,20412,18405,13799,0,1,2,4,3,6,9,7,14,12,444154,118247,40997,32144,20381,18656,15825,15693,12708,11938,4,7,12,1,10,9,6,2,13,5,26201,24739,22765,20319,18154,16891,16262,16246,16171,15624,0,1,2,4,3,5,7,6,12,9,453870,97030,44361,30573,18969,18857,16934,14450,13784,11998,3,4,9,10,8,2,14,11,5,7,33954,32821,31315,28264,28083,25832,23779,21344,20904,16268,0,3,2,4,1,5,10,9,8,11,183804,63619,58265,48286,39778,20585,18696,17876,15508,15146,13,2,5,6,14,1,10,9,12,3,40442,38195,35328,33167,32740,31115,30684,28671,20550,18479,0,1,2,5,6,3,13,4,9,14,408058,145995,95271,37177,27343,26867,20054,19951,18382,16694,2,7,3,8,12,13,14,9,4,1,28142,27533,27419,25846,25435,24726,21985,18243,15154,13519,0,2,1,3,7,4,8,12,13,6,216170,69865,66723,45841,21179,19273,17836,13537,12779,11616,2,5,9,6,12,1,8,13,10,3,23445,22130,21149,19404,19252,18946,16692,16355,13311,12734,0,1,2,5,9,6,12,8,3,13,485004,91859,71417,28688,16461,16149,13598,12518,11202,7808,2,13,6,9,5,10,1,14,3,12,35232,35232,32145,32145,27630,27630,20464,20464,14427,14427,0,2,1,3,6,13,5,9,10,14,190429,70892,69902,28622,28279,21259,20523,20284,20172,13665,10,13,2,6,5,3,14,9,11,12,20606,20297,20262,19423,19151,17781,17770,16014,15833,14266,0,1,2,5,6,3,9,4,13,12,428008,79469,66469,26460,19001,18812,14462,13205,11817,11574,14,3,5,6,4,7,2,13,12,8,31737,29437,27952,25971,25725,22256,21413,20130,18885,12664,0,3,2,4,6,7,5,14,13,12,293979,58978,53469,32843,22881,21814,21216,16423,13799,11222
25,1,14,12,10,3,8,5,7,6,13,34127,33008,32203,31865,30270,29963,28605,24672,23986,23482,0,1,3,2,4,10,8,5,9,14,485667,146088,77180,62109,42186,25641,24447,23765,22977,20043,1,13,6,8,4,10,3,11,5,9,38420,38420,34974,34974,32001,32001,27322,27322,22136,22136,0,1,2,3,4,6,8,5,13,10,1163696,185685,55442,42402,40487,28807,21934,20627,17744,16028,0,1,14,2,13,3,12,4,11,5,10536,10087,9490,8676,7778,6988,6447,6147,5969,5814,0,1,2,5,4,3,9,8,12,6,695802,81214,45822,16746,14562,10318,9987,9231,8863,8393,1,3,5,7,9,13,11,4,2,6,49311,45162,42006,39594,36139,35773,34290,31857,30362,30273,0,1,2,3,7,4,8,13,6,9,590253,229475,133870,116047,47054,45913,37659,31696,27083,25445,13,9,3,7,12,10,14,8,1,4,82944,77301,75521,71217,68065,67818,58099,47460,46986,46823,0,1,2,3,7,14,8,13,6,11,2076783,188615,162955,143962,117538,100704,81996,80441,78509,76102,11,7,3,6,2,10,1,14,5,12,72926,66913,59824,59744,59413,56594,53101,44283,39176,35545,0,1,2,3,6,5,7,11,10,4,1610259,305821,122876,91286,57511,46811,41206,40983,38607,35228,4,13,12,10,5,11,3,2,1,9,119255,102489,101902,97667,94450,84162,76788,63772,61189,59931,0,1,4,3,2,5,13,10,12,11,2075702,261490,166482,132168,120821,113040,56096,54362,53507,38129,14,5,2,10,8,1,11,7,12,4,95273,89890,73564,70741,63674,63153,62134,60722,52509,47776,0,1,2,5,4,3,14,10,8,7,1605626,243094,214481,85162,78513,58558,51345,50783,47507,36608,1,14,5,10,3,12,6,9,7,8,41737,41737,39367,39367,30990,30990,30438,30438,25088,25088,0,1,3,5,7,9,11,2,13,4,1188655,324082,95759,74269,53528,51008,45467,43578,40302,26085,12,4,1,14,11,3,7,8,9,6,35980,35960,30938,27709,27605,26365,26123,25842,25270,21479,0,1,3,4,5,6,2,7,14,8,750801,88326,73152,67434,38539,32341,31403,29499,23804,22677,1,14,5,10,6,9,2,13,3,12,28903,28903,25573,25573,25322,25322,24962,24962,24789,24789,0,1,2,3,6,5,10,8,13,4,1219553,156897,50917,44668,24756,21520,17338,16128,14946,14707
37,0,1,5,6,9,4,14,2,13,8,32466,26239,19199,16176,13987,13896,12566,12452,9860,9288,0,1,2,3,4,6,8,10,5,7,1095710,271015,78597,61772,43054,42525,24630,24253,23967,22120,2,3,1,6,10,13,7,0,11,9,14277,11666,10590,9093,8264,7655,7492,5840,5571,5377,0,2,1,3,6,7,11,13,9,12,490195,44952,41601,18581,10684,7908,5965,5835,4330,3363,7,10,1,2,13,4,8,0,14,6,136414,107397,102951,91703,87738,86396,80762,73796,71236,64187,0,2,1,4,7,3,10,6,12,13,1925647,371623,293752,135368,113128,98260,95317,67222,52617,36832,12,3,1,5,9,10,14,6,4,8,47565,45065,32435,31921,31009,29310,28811,26649,21289,20838,0,1,3,5,4,12,6,9,10,8,1321009,149923,71024,31068,28601,24463,24350,20368,16297,15312,14,5,4,6,3,13,7,8,2,9,53267,52886,51360,46811,41971,38949,38777,31298,27587,24116,0,1,3,5,4,6,14,8,2,12,1509856,185010,100262,61378,49906,49866,34378,34113,25925,19660,0,6,1,7,14,8,9,13,5,10,25008,20535,19901,19876,18094,16518,16118,14155,13842,13380,0,1,3,2,6,4,8,10,13,5,758124,210913,50658,41156,38596,28813,27912,21776,19872,17844,6,5,14,13,9,3,7,2,10,12,19331,14897,13013,12204,12047,11413,11351,10990,10590,5721,0,1,3,2,6,5,9,13,7,10,377266,47784,26484,25671,21520,10671,9287,8690,7176,7167,9,11,1,10,12,13,2,0,3,8,75255,74594,69987,69547,68142,56865,55965,54448,54254,50770,0,1,3,2,4,5,6,7,8,13,545553,169246,106621,84835,79603,68857,58855,47124,42542,34397,2,13,7,12,3,9,8,6,1,4,57219,55893,52464,52373,48581,47809,47570,45180,43651,41570,0,1,2,4,7,3,6,12,9,13,687252,295309,141825,76382,53301,49867,41140,37967,32714,31031,0,1,11,10,9,8,12,7,2,5,21420,18046,15092,14139,13158,12833,12169,11212,10037,9784,0,1,2,4,3,7,5,10,6,13,690452,150252,75341,38752,26324,24973,22592,20654,15738,13929,0,1,8,9,2,7,10,11,6,14,10282,9604,8295,8066,7578,7436,6933,5536,5509,4738,0,1,2,4,7,6,3,10,9,5,280078,78806,39894,13572,12019,11520,10046,9247,8917,7683
38,14,13,4,6,5,0,12,8,3,2,34167,31164,31102,27693,25391,25231,22758,21213,20999,18175,0,1,4,3,2,5,13,12,14,9,858728,93737,73641,55018,51902,43324,28547,22361,19051,16420,13,12,11,9,6,8,7,10,5,4,21929,21642,21447,20020,18994,17593,17122,15739,11551,11206,0,1,2,6,5,9,13,7,10,11,760449,47299,21544,18278,14365,12793,11802,11450,11165,10610,11,10,12,9,13,8,14,0,7,1,23520,23180,22467,21474,20425,18495,18295,14364,14326,13550,0,1,2,3,4,5,6,14,7,13,871487,35807,29210,21306,16236,15605,15340,13278,12425,10977,8,10,13,11,6,1,5,3,12,7,35015,33903,29766,24520,22495,21610,20333,19618,19408,14008,0,1,3,2,8,4,13,10,5,6,980445,102516,38886,34613,27656,18621,18336,16685,15516,14809,10,13,12,11,7,9,8,14,5,4,22982,22862,22809,21175,16073,16059,15810,15708,12924,11820,0,1,2,3,10,11,5,7,6,12,864030,40246,32938,17272,14797,14569,14474,14103,13691,13089,13,9,14,5,6,10,12,2,8,1,39319,32869,31505,30534,29988,29094,27652,25267,21519,18312,0,1,2,3,5,6,10,9,13,7,1258651,100026,76449,33972,33448,31483,17939,17267,17056,16791,14,12,6,8,10,4,0,2,13,11,29778,28933,28718,27777,25853,22535,19640,19185,16661,14248,0,1,3,2,5,7,9,13,11,14,1176563,104436,32346,29239,27995,21084,19221,18161,12569,11723,11,5,12,14,6,13,0,8,1,10,33680,28846,28607,27603,25936,22089,21467,15622,15060,12554,0,1,2,7,6,4,12,13,5,10,1246901,72370,42808,22550,22414,21985,17797,16059,14923,13153,5,4,6,10,9,8,7,11,3,0,24224,23431,20762,20245,20060,18674,18133,18058,17977,15620,0,1,2,13,10,14,12,11,9,5,1003345,33818,16282,14521,14268,14218,14176,14035,12702,11082,12,11,5,13,9,6,10,14,1,8,25770,22118,21602,21166,19837,18245,17340,16801,11155,11098,0,1,2,5,6,4,3,9,10,11,1118798,52415,26907,21569,15074,14426,14178,13313,13190,12755,12,13,9,8,5,14,11,4,10,3,28502,23004,20799,20211,18192,18028,17692,15701,12214,11187,0,1,2,5,6,3,12,4,11,9,1217366,33037,27389,17185,13948,13923,13108,12540,12304,10922
67,3,11,2,10,5,4,9,6,12,7,84737,67061,62616,58506,53149,50747,45390,40664,40113,36839,0,1,2,3,5,4,6,11,12,10,2146252,155002,134045,119907,64821,58246,46306,39058,30871,30598,6,2,10,5,1,9,13,11,3,7,55127,55040,54580,44154,43977,43658,43499,43456,43198,43070,0,2,1,3,5,4,6,10,9,11,2192524,91946,89110,49343,35786,27639,20539,20125,19555,15242,6,7,3,5,2,4,14,12,13,11,70191,62687,60439,52434,49735,49089,46816,45228,39091,37384,0,2,3,1,4,6,5,7,12,11,2628285,132201,115266,89522,71951,62895,60802,43640,26876,25457,11,3,2,10,6,12,5,4,14,13,73387,65816,59184,58362,53776,53561,53425,48028,40549,38596,0,2,3,1,4,5,6,11,10,12,2775754,151168,119753,108090,69134,61009,47664,44761,36771,31816,3,2,4,5,11,10,12,9,6,8,88292,80142,76643,71871,68131,61505,56807,55834,37407,33157,0,2,1,3,4,5,9,10,8,11,2882673,170764,137908,115687,71551,53153,36887,33152,31507,30113,2,10,3,7,11,6,14,5,8,12,86642,82666,77981,71431,66261,58855,57689,49436,48418,37307,0,1,2,3,6,7,11,5,10,14,2522860,238775,188152,107529,63880,50976,43627,42778,39110,29168,3,13,2,12,8,7,14,4,11,9,66543,64153,64120,61718,52651,52554,52318,47186,41162,38865,0,2,1,3,4,7,12,8,6,13,2457863,176010,151602,120273,54583,43499,36238,32819,31151,30469,11,2,6,7,3,12,1,10,8,14,72310,65946,64829,61392,56173,46251,43185,42731,38745,28791,0,1,2,3,6,11,7,4,12,10,2765572,196006,169316,102720,54561,45004,41886,38125,29599,28221,6,3,14,7,2,11,10,5,12,1,70684,64046,61861,61503,53051,50189,49204,46148,41326,38687,0,1,2,3,6,7,5,14,10,4,2658235,191132,127645,102085,61090,47211,45266,31813,27564,26586,6,2,10,9,13,14,5,3,1,7,72397,72030,60646,58594,54739,50450,48158,42934,41473,41230,0,1,2,3,5,6,10,9,14,13,2904531,230656,194104,59401,55867,55852,33721,30815,30262,28769,7,1,9,6,2,13,14,10,5,8,66248,64853,60342,60047,59623,52910,52133,50639,41616,41513,0,1,2,3,4,6,5,10,12,9,2274962,185120,154958,72875,59882,49950,47492,36127,29344,27194
97,9,10,4,8,5,3,14,7,2,11,37207,35045,34602,28193,27131,27051,21844,17474,17400,17193,0,1,2,4,3,5,9,10,7,8,1301060,94010,60102,48216,43859,30011,23859,23098,19910,19699,7,10,4,5,9,6,8,2,12,11,24818,21996,21971,21883,21869,21074,21050,15212,15191,15007,0,1,2,4,3,5,7,6,10,8,1040313,69098,35522,27225,27170,25488,21089,17373,15991,14571,7,9,8,6,10,5,11,4,12,3,22666,22581,22525,22200,21645,21154,20530,19405,17886,16169,0,1,3,4,6,5,2,8,9,11,1251030,66609,33431,25620,24195,18830,18503,18126,14651,14440,7,9,4,10,6,5,12,8,11,2,25703,24100,22493,22314,21065,20783,19796,19552,17277,15283,0,1,2,4,3,5,6,7,8,9,1357132,54232,31074,27099,24392,20726,19544,17528,14718,14060,7,10,4,5,9,12,8,6,2,13,28213,26542,23081,22694,22067,21454,19999,17912,17326,16677,0,1,2,4,5,7,3,6,10,9,1460028,49250,42862,29283,23352,21606,17898,15739,15618,13963,7,8,11,4,10,5,2,13,1,14,37696,37685,35542,35513,34816,34806,24521,24487,23626,23610,0,1,2,4,5,8,3,7,10,11,1368295,143014,61464,45954,36859,29950,29429,27914,23305,21441,8,5,11,7,10,4,2,13,6,9,28296,27237,25945,23483,23161,19202,18923,17344,17244,17101,0,1,2,5,4,8,7,3,11,10,1591537,62933,59298,33174,27555,22317,20849,20245,16567,15794,12,4,11,9,1,2,5,6,13,14,36566,27778,27315,26187,25037,22819,20084,19180,13876,13665,0,1,2,4,3,5,12,9,8,7,1555413,117037,74492,30729,29294,27310,23744,18163,13523,13443,10,5,6,9,2,13,11,4,7,8,20638,20621,20411,20389,17424,17390,14773,14747,14680,14666,0,1,2,3,4,6,10,5,8,13,1370435,91786,32441,30824,23634,23124,15601,15527,14921,11915,6,5,13,14,7,2,4,3,12,10,32581,30498,28074,27740,22755,21335,19166,18001,14726,14348,0,1,2,5,3,6,7,4,14,13,1504199,74668,55943,35557,31107,25062,20474,20404,15301,13454,6,7,11,10,5,2,8,3,9,12,29645,27827,27094,24982,20507,18601,18178,16743,16269,15916,0,2,1,3,6,5,7,11,4,10,1318950,47115,38421,27027,23484,22509,22379,15427,14383,13602
103,1,3,5,7,9,8,11,10,13,6,42248,36392,29637,26763,25921,24468,23953,23303,21395,19402,0,1,3,5,7,9,11,13,6,8,240699,170046,52859,29019,20758,18230,16894,14746,12451,12259,5,9,1,0,4,10,6,13,8,11,97502,72073,70873,66701,54264,52682,49794,39852,39818,38122,0,1,2,5,4,8,13,3,11,7,548989,301662,129397,104165,94425,59034,44849,36430,33196,32645,12,5,4,11,3,2,13,10,9,6,75543,68949,64722,63596,61036,58686,55762,52747,45138,43342,0,2,1,3,4,5,12,6,11,10,2682739,129394,105982,92569,73412,65531,36863,34989,32487,28177,2,5,11,8,1,4,12,9,6,7,70557,62166,56357,55919,51394,42598,42488,39106,36573,35897,0,1,2,4,7,5,10,8,11,14,2125645,237188,142879,90878,89777,79413,76032,64880,62923,61279,11,5,4,1,0,14,10,12,2,6,81018,73762,73715,60011,59461,55546,55451,53866,43701,33045,0,1,2,3,4,7,8,13,6,5,2086411,180980,164923,113978,68303,44467,39969,34379,33068,32007,1,14,3,12,5,10,7,8,6,9,14218,14218,13381,13381,11961,11961,10247,10247,8309,8309,0,1,2,4,3,7,10,12,9,5,1110322,193009,59152,39309,31999,26891,21588,20728,19660,18876,2,6,14,13,10,9,8,12,5,0,123015,113457,87962,84765,80091,64165,58173,57874,48721,45693,0,2,1,4,6,9,10,14,3,12,2232412,322134,180838,103379,92845,59091,54311,51485,51353,45344,13,14,9,0,10,1,8,5,2,11,83825,78631,78391,74944,73164,71859,70468,62089,48621,46948,0,2,1,4,3,5,9,14,10,8,2139551,154449,148750,147230,126994,79065,66451,53063,42249,40683,2,9,4,3,8,10,5,11,14,1,47965,45523,44296,41897,40692,32790,31173,30889,30093,22522,0,2,3,1,4,9,8,5,10,14,1816826,105963,67655,57633,46435,33691,29194,19508,18698,18395,2,4,8,10,9,12,13,6,7,0,35745,29484,27159,24485,22972,22967,19053,18218,15465,12544,0,1,3,2,7,5,4,13,9,11,1700115,215637,64428,56348,39270,35120,28891,22119,19737,18049,3,2,7,12,8,14,6,13,11,9,74013,67113,63506,61356,60431,54557,53224,52984,52752,46658,0,1,2,3,4,6,7,11,8,9,1435069,266727,160203,90751,67888,49656,47860,38551,37834,32476
105,13,8,3,2,7,12,14,9,4,1,30208,30195,30171,30135,30090,30037,29979,29917,29854,29793,0,3,5,2,6,4,7,1,8,9,1388911,310,310,310,310,310,310,309,309,309,3,8,9,2,13,4,7,10,1,12,14702,14679,14643,14595,14537,14472,14403,14334,14268,14208,0,1,2,3,4,5,10,11,9,12,917610,56065,50729,42472,32164,20868,15340,14565,13197,11269,11,2,7,6,3,12,10,1,8,14,6208,6196,6172,6094,6042,5985,5923,5861,5799,5742,0,1,2,3,4,7,8,13,6,12,814231,33551,27533,18917,9450,8060,7794,5783,5156,5155,5,4,6,14,13,3,7,2,8,12,60928,58120,58120,58120,49963,49963,49963,37341,37341,37341,0,4,3,5,2,6,1,7,8,13,1170166,70789,68098,67788,61235,59130,53624,46082,30885,24797,2,5,1,8,11,4,14,7,10,13,42453,41807,41207,40963,39431,39186,38650,35417,31016,26359,0,1,2,5,3,7,11,8,14,4,1274982,234583,61038,51674,48299,34460,28469,25841,23903,22569,0,14,2,11,3,5,13,12,9,1,36906,35242,30149,26244,25894,23705,22915,22498,19498,19258,0,1,2,3,4,5,6,12,11,13,747375,175895,122162,100864,62051,36615,31027,30033,29371,28698,4,12,11,3,5,13,10,2,6,14,11455,11420,11135,10748,10381,9816,9087,8408,7622,6645,0,3,2,4,1,5,11,12,6,10,528125,19439,19004,16473,16031,11218,6874,6848,5711,5155,14,8,11,13,9,10,7,12,5,2,48127,43644,40597,37608,37203,36018,35207,33383,29229,28983,0,14,1,13,8,11,7,10,12,9,554296,35556,34399,30597,30334,29719,28868,27450,26680,25150,0,7,8,14,1,6,9,2,13,5,17007,16783,16697,15732,15626,14061,13877,11730,11673,9084,0,1,2,3,7,6,8,4,5,9,731666,58002,47337,32891,24788,22443,22284,20178,17667,16223,12,5,2,9,8,1,6,13,11,4,10430,10211,10080,9836,8830,8355,7606,6816,6137,5271,0,1,2,5,4,12,9,6,8,3,702641,48400,26981,10201,8562,5690,5688,5357,5220,4927,7,8,6,9,5,10,4,11,3,12,17426,17426,16709,16709,15298,15298,13251,13251,10661,10661,0,5,6,4,7,3,2,8,1,9,722860,13040,13030,12877,12782,12619,12353,12248,12155,11401
