account_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
2,140,210,70,420,490,350,764,484,280,694,1712601,1464999,1394312,1235041,1062999,1035292,964862,961650,894242,862756,0,1,70,140,9,8,7,18,6,12,77311806,8017923,7021315,4641289,4557723,4157451,3808238,3672635,3625556,3291048
19,88,132,176,44,220,393,349,261,305,525,782425,616716,533607,517050,484626,433903,422409,406837,397311,395855,0,1,3,44,4,5,2,7,6,88,23264055,7116004,5259673,2727451,2665735,2567476,2468040,2275200,2066483,1967198
25,354,324,177,383,147,434,88,321,29,30,707888,694148,653421,638139,564572,548307,531773,530936,512082,511940,0,3,1,5,9,10,7,4,30,28,43789158,9120131,5513466,4859833,3906394,3887125,3777542,3746633,2552242,2406782
37,201,30,27,196,106,238,213,120,17,22,368240,362643,320809,295475,291440,279073,277321,276041,273247,272358,0,1,5,2,3,4,6,8,15,10,16890088,3742260,3247637,2581417,2540386,2416541,2354053,1710510,1404862,1293812
38,80,191,207,96,159,175,128,64,143,223,246578,236851,221582,218030,196238,194798,189281,184015,176772,174118,0,2,3,4,6,7,5,9,16,10,16957519,2152216,1365013,1136122,899095,777627,665657,644771,642801,393633
67,100,150,50,300,546,200,350,496,250,346,2637482,2130003,2052612,1777190,1477915,1421196,1363890,1294098,1224500,1211884,0,1,50,2,100,8,7,5,6,3,84657126,13982984,9795809,7528746,6579665,5449510,5122452,4991112,4538623,4248485
97,124,62,93,277,31,339,308,184,215,246,579026,492509,472900,458453,452583,441926,441431,391826,387369,376598,0,3,1,31,4,2,6,10,62,9,37928529,3828729,3413271,2595196,2264433,2183400,1603660,1264927,1231689,1222762
103,0,65,66,304,171,468,170,381,270,35,513049,480464,473013,439907,439611,419275,397300,394912,392284,391793,0,2,3,5,8,14,1,13,9,6,40437468,11798679,5742462,4901421,3832954,3232607,3228304,3064843,2802457,2729480
105,242,228,86,189,225,34,122,174,121,39,313340,254418,242327,233181,215997,203334,196248,190854,188967,185627,0,1,3,2,4,10,13,12,5,9,14955831,4031692,2271992,2211966,1620242,1126613,871583,824615,823165,821042
110,58,288,87,317,145,230,116,201,259,383,642817,545956,545006,542042,497470,481668,469824,462369,454442,454302,0,1,5,4,3,29,6,58,8,2,40107772,3792214,2600836,2544972,2503714,2267483,2213046,1728388,1715702,1582813
