account_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
2,24,36,72,84,83,12,131,60,96,179,311748,246631,246592,230496,215107,214045,205391,203317,195277,193987,0,12,2,3,5,24,7,13,36,8,16223061,1078326,1013185,782650,760857,683102,487911,459006,411844,324648
19,131,24,107,143,108,36,12,60,96,63,180663,180362,164741,159515,152563,149284,143850,143497,128530,123108,0,1,5,7,12,2,11,4,10,14,3695400,1106136,1010160,1006894,788037,647885,502901,457831,421095,403683
25,61,146,73,158,12,157,166,134,49,179,463835,409210,383839,378481,377405,357308,317122,315684,314780,309420,0,2,1,12,13,8,7,4,3,15,22609903,2814662,1996533,1734203,1170469,1132203,1054570,981685,825472,819351
37,146,79,18,16,90,158,113,170,93,73,340623,305021,281267,253734,245918,245685,242922,236324,233055,231641,0,2,4,6,10,1,11,3,8,5,14031184,3017817,2481374,1734011,1574867,1556660,1430862,1294360,1240050,1217516
38,72,60,96,143,155,179,84,162,131,167,200737,184728,184213,175635,170252,147839,144130,142228,142189,141848,0,1,2,3,6,12,11,8,4,23,13153646,1210862,1191246,966751,707122,643441,549512,394900,348330,329095
67,131,24,72,84,143,36,119,83,179,12,556937,500052,488528,469209,445934,419290,408107,403564,388270,370196,0,12,1,24,4,22,36,6,16,35,16410085,2125676,1807642,1405084,825593,574260,558112,548334,483636,455692
97,36,48,155,12,95,24,119,96,107,72,240684,199412,164697,164664,162529,161976,159831,159210,158910,157884,0,1,12,3,5,9,24,36,2,8,12390706,2226345,941561,509303,474466,450555,421660,413732,387160,342139
103,135,27,154,70,141,149,12,0,88,89,235333,208499,195675,194915,191655,191525,190737,189864,182594,182454,0,1,5,2,3,4,11,9,7,19,15811935,4634035,2263663,1905131,1470281,1046117,988069,961783,789877,721349
105,170,60,133,158,97,9,159,160,51,85,276682,235720,200086,194373,190445,185240,173145,170033,169749,167791,0,1,2,7,3,9,5,16,19,18,12196590,2830330,2225035,1311149,1228104,1094862,618356,503970,472617,448646
110,179,36,60,131,170,122,134,167,72,48,229330,222261,208050,192711,191212,189039,188450,186450,185590,184687,0,1,3,11,5,9,10,4,24,8,18238816,1054423,855480,699722,692905,671789,671623,564805,549873,521896
132,122,73,61,181,10,158,100,119,171,106,402904,377979,371155,351507,344190,310055,302584,292687,292669,278402,0,2,1,6,10,4,12,11,8,13,16972164,3541944,3216853,2551537,2060399,1998774,1413606,1397535,1090785,1081757
173,107,36,48,95,84,131,24,72,12,119,244801,238892,227341,200826,195619,195323,193443,170091,169376,167733,0,1,2,12,3,4,10,7,8,24,11135622,1644378,943317,721891,668480,586931,454721,451403,449902,439203
176,122,12,170,85,49,110,171,25,61,73,452991,425893,390677,372473,369220,345205,327822,326367,324797,316186,0,1,12,2,4,7,10,6,8,14,17515600,2327097,2170278,1829782,1727544,1588899,1418023,1351815,1207087,1183993
226,36,60,48,179,83,167,12,155,72,59,321618,283797,256003,242428,225647,217682,208317,201081,189205,188060,0,2,1,12,3,24,13,9,36,5,16138451,1963383,1437600,1086436,697214,543805,538449,534306,526113,510985
276,22,33,11,78,123,142,67,153,87,134,498977,376357,351825,295384,259275,250599,245737,233743,229155,226926,0,1,11,22,2,33,4,3,6,17,18877231,2109439,2020923,1232932,781644,437809,436510,399320,377898,349783
290,0,61,85,36,174,24,108,147,83,97,305159,301085,297841,274213,245834,243422,239557,233346,231426,227918,0,1,5,4,9,3,18,2,12,21,19872720,3500265,1815075,1465455,1370790,876358,863867,853754,792949,751785
303,36,143,12,48,155,131,24,119,71,150,270897,237804,210238,204862,189976,185864,175892,164982,158854,150262,0,1,2,12,3,5,4,36,24,8,16344780,1131334,1076912,976891,745816,458176,414866,384069,383616,313929
309,12,48,24,146,119,85,61,72,155,36,401655,317705,267333,232333,228613,224416,208536,207547,202047,197149,0,12,1,4,2,24,3,48,25,7,11843296,1981900,1564199,1118764,809169,651663,650633,405480,368397,361068
314,48,12,36,131,143,24,155,60,119,72,673955,587315,558213,494693,476948,472887,441028,390477,381856,334108,0,12,3,24,2,36,1,48,7,13,14779413,2521415,1242932,856894,800146,778813,712959,705890,681376,668057
319,60,39,61,104,143,174,31,181,64,51,223606,219362,208975,200723,195868,191284,185724,177101,175979,175370,0,2,5,4,1,3,7,10,8,6,20040144,2742828,1867966,1778128,1763991,1430960,1407599,868723,770834,722660
330,12,36,119,60,73,143,95,48,96,97,473876,352881,261287,251372,230531,225120,219111,214837,207456,202793,0,12,2,1,3,5,36,7,13,9,16229843,2129770,1425328,1166836,826035,781172,526877,510968,430013,379542
339,36,48,24,60,143,73,155,107,61,72,629235,628777,537144,488759,411222,398611,388241,372001,359062,358603,0,1,24,12,5,2,3,36,48,7,23740977,3009889,1688612,1683822,1517699,1470172,1398513,1201131,860499,781157
